dosen,scholar_id,title,authors,journal,year,citations,link
Bambang Suprianto,j8HRV1wAAAAJ,Sistem kontrol intensitas cahaya lampu aquascape menggunakan fuzzy logic controller berbasis Arduino,"AS Kusumo, PW Rusimamto, B Suprianto, IGPA Buditjahjanto","Jurnal Teknik Elektro 11 (2), 322-331, 2022",2022,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:t7zJ5fGR-2UC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Teaching applied: Synectics application using leadership instructional on creative design subject for upgrading creativity,"SC Wibawa, AD Indriyanti, DR Prehanto, MS Sumbawati, D Dharmayanti","Journal of Physics: Conference Series 1387 (1), 012068, 2019",2019,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:_FxGoFyzp5QC
Atik Wintarti,lFCI_vsAAAAJ,Pengembangan Media Pembelajaran Visual Novel “Plus And Minus” Berbasis Smartphone untuk Materi Bilangan Bulat SMP,"A Nursy, A Wintarti, NR Prihartiwi","MATHEdunesa 12 (3), 698-719, 2023",2023,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:r0BpntZqJG4C
Ardhini Warih Utami,ZBAnb64AAAAJ,Analisia Dan Pemodelan Proses Bisnis Menggunakan Metode Business Process Model and Notation (BPMN) Pada Produksi Shuttlecock,"T Muttaqin, AW Utami","Journal of Emerging Information System and Business Intelligence (JEISBI) 4 …, 2023",2023,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZBAnb64AAAAJ&pagesize=100&citation_for_view=ZBAnb64AAAAJ:TQgYirikUcIC
Ardhini Warih Utami,ZBAnb64AAAAJ,Perancangan Sistem Perhitungan Kebutuhan Kalori Sebagai Pendamping Gaya Hidup Sehat,"R Bisma, P Nerisafitra, AW Utami","Journal of Emerging Information System and Business Intelligence (JEISBI) 2 (4), 2021",2021,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZBAnb64AAAAJ&pagesize=100&citation_for_view=ZBAnb64AAAAJ:QIV2ME_5wuYC
Aditya Prapanca,WdhKN0sAAAAJ,Rancang Bangun Prototype Sistem Monitoring Level Air Untuk Mendeteksi Banjir Berbasis Mikrokontroler Arduino Dan Visual Basic. Net,BR Sagita,"Jurnal Manajemen Informatika 8 (2), 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&citation_for_view=WdhKN0sAAAAJ:-_dYPAW6P2MC
Yeni Anistyasari,IJIEntMAAAAJ,STUDI LITERATUR: PENGARUH PENGGUNAAN VIDEO SEBAGAI MEDIA PEMBELAJARAN DI PERGURUAN TINGGI,"YTA Ningtiyas, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 417-424, 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:RYcK_YlVTxYC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Analisis Keandalan Sistem Distribusi 20kv Pada Penyulang Pejangkungan Di Pt Pln Pasuruan Menggunakan Metode Ria (Reliability Index Assesment),"AT Maliky, SI Haryudo","Jurnal Teknik Elektro 9 (1), 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:iH-uZ7U-co4C
Elly Matul Imah,tzjThtIAAAAJ,Electrocardiogram for Biometrics by using Adaptive Multilayer Generalized Learning Vector Quantization (AMGLVQ): Integrating Feature Extraction and Classification,"EM Imah, W Jatmiko, T Basaruddin","The International Journal on Smart Sensing and Intelligent Systems 6, 2013",2013,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:Y0pCki6q_DkC
Lilik Anifah,6MXDzBQAAAAJ,Decision Support System Erythemato-Squamous Diseases Classification Diagnosis Using Linear Vector Quantization Based Clinical Atributes,L Anifah,"2021 3rd International Conference on Research and Academic Community …, 2021",2021,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:fPk4N6BV_jEC
Lilik Anifah,6MXDzBQAAAAJ,"Nurhayati,“Pengembangan Trainer Kit Mikrokontroler Nodemcu ESP32 Berbasis IoT sebagai Media Pembelajaran pada Mata Pelajaran Pemrograman, Mikroprosesor, dan Mikrokontroler di …","MA Alyafi, L Anifah, B IGPA","J. Pendidik. Tek. Elektro 11 (02), 203-212, 2022",2022,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:tkaPQYYpVKoC
I Made Suartana,RvG7jG4AAAAJ,Implementasi Kriptografi dengan Modifikasi Algoritma Advanced Encryption Standard (AES) untuk Pengamanan File Document,"LA Indrayani, IM Suartana","Journal of Informatics and Computer Science (JINACS) 1 (01), 42-47, 2019",2019,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RvG7jG4AAAAJ&pagesize=100&citation_for_view=RvG7jG4AAAAJ:ufrVoPGSRksC
I Made Suartana,RvG7jG4AAAAJ,Analisis Dan Implementasi Honeypot Dalam Mendeteksi Serangan Distributed Denial-Of-Services (DDOS) Pada Jaringan Wireless,"B Mardiyanto, T Indriyani, IM Suartana, K Kunci","Integer Journal 1 (2), 32-42, 2016",2016,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RvG7jG4AAAAJ&pagesize=100&citation_for_view=RvG7jG4AAAAJ:4TOpqqG69KYC
Unit Three Kartini,S6IJ51cAAAAJ,Tuning of power system stabilizer using cascade forward backpropagation,"W Aribowo, S Muslim, B Suprianto, UT Kartini, IGPA Buditjahjanto","2020 Third International Conference on Vocational Education and Electrical …, 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S6IJ51cAAAAJ&pagesize=100&citation_for_view=S6IJ51cAAAAJ:YOwf2qJgpHMC
Yuliani Puji Astuti,Tz8EfXcAAAAJ,Analisis Perilaku Brand Switching Dengan Metode Rantai Markov,"AS Phasa, YP Astuti","MATHunesa: Jurnal Ilmiah Matematika 9 (1), 212-219, 2021",2021,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tz8EfXcAAAAJ&pagesize=100&citation_for_view=Tz8EfXcAAAAJ:mVmsd5A6BfQC
Ibnu Febry Kurniawan,BIrtbD8AAAAJ,Wall crack multiclass classification: Expertise-based dataset construction and learning algorithms performance comparison,"AP Wibowo, A Adha, IF Kurniawan, I Laory","Buildings 12 (12), 2135, 2022",2022,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BIrtbD8AAAAJ&pagesize=100&citation_for_view=BIrtbD8AAAAJ:MXK_kJrjxJIC
Nurhayati,AYI1rosAAAAJ,A vivaldi antenna palm tree class with koch square fractal slot edge for near-field microwave biomedical imaging applications,"RE Figueredo, AM de Oliveira, N Nurhayati, AMO Neto, IC Nogueira, ...","2020 Third International Conference on Vocational Education and Electrical …, 2020",2020,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AYI1rosAAAAJ&pagesize=100&citation_for_view=AYI1rosAAAAJ:kNdYIx-mwKoC
Kartika Chandra Dewi,Y7qO6YYAAAAJ,Ensemble learning for predicting mortality rates affected by air quality,"KC Dewi, WF Mustika, H Murfi","Journal of physics: Conference series 1192 (1), 012021, 2019",2019,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Y7qO6YYAAAAJ&pagesize=100&citation_for_view=Y7qO6YYAAAAJ:u-x6o8ySG0sC
Pradini Puspitaningayu,A9L19RMAAAAJ,Wireless body area networks dan pengaruhnya dalam perkembangan teknologi m-Health,"P Puspitaningayu, A Widodo, E Yundra","INAJEEE (Indonesian Journal of Electrical and Electronics Engineering) 1 (1 …, 2018",2018,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A9L19RMAAAAJ&pagesize=100&citation_for_view=A9L19RMAAAAJ:2osOgNQ5qMEC
Nurhayati,AYI1rosAAAAJ,"Nurhayati,“Pengembangan Trainer Kit Mikrokontroler Nodemcu ESP32 Berbasis IoT sebagai Media Pembelajaran pada Mata Pelajaran Pemrograman, Mikroprosesor, dan Mikrokontroler di …","MA Alyafi, L Anifah, B IGPA","J. Pendidik. Tek. Elektro 11 (02), 203-212, 2022",2022,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AYI1rosAAAAJ&pagesize=100&citation_for_view=AYI1rosAAAAJ:q0uBw5dMOAkC
Unit Three Kartini,S6IJ51cAAAAJ,Analisis Tegangan Jatuh (Drop Voltage) Pada Unit Boiler Di PPSDM Migas Cepu Menggunakan Etap 12.6. 0,"M Mujiburrahman, J Joko, B Suprianto, UT Kartini","Jurnal Teknik Elektro 10 (3), 757-768, 2021",2021,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S6IJ51cAAAAJ&pagesize=100&citation_for_view=S6IJ51cAAAAJ:iH-uZ7U-co4C
Lilik Anifah,6MXDzBQAAAAJ,Perancangan Sistem Deteksi Objek Bola Dan Gawang Pada Robot Sepakbola Menggunakan Metode Darknet YOLO,"DN Nugroho, L Anifah","JIEET (Journal of Information Engineering and Educational Technology) 7 (1 …, 2023",2023,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:vRqMK49ujn8C
Sayyidul Aulia Alamsyah,MnI3Tm0AAAAJ,Lane detection using edge detection and spatio-temporal incremental clustering,"SA Alamsyah, D Purwanto, M Attamimi","2021 International Seminar on Intelligent Technology and Its Applications …, 2021",2021,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MnI3Tm0AAAAJ&pagesize=100&citation_for_view=MnI3Tm0AAAAJ:u5HHmVD_uO8C
Heri Purnawan,5uDKOUMAAAAJ,Disturbance compensating model predictive control for warship heading control in missile firing mission,"H Purnawan, T Asfihani, D Adzkiya","Journal of Physics: Conference Series 1108 (1), 012035, 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5uDKOUMAAAAJ&pagesize=100&citation_for_view=5uDKOUMAAAAJ:UeHWp8X0CEIC
Nurhayati,AYI1rosAAAAJ,Design of 1× 2 MIMO palm tree coplanar Vivaldi antenna in the E-plane with different patch structure,"N Nurhayati, E Setijadi, AM de Oliveira, D Kurniawan, MNM Yasin","Electronics 12 (1), 177, 2022",2022,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AYI1rosAAAAJ&pagesize=100&citation_for_view=AYI1rosAAAAJ:0sTkTiv_uMkC
Pradini Puspitaningayu,A9L19RMAAAAJ,A proposal of the fingerprint optimization method for the fingerprint-based indoor localization system with IEEE 802.15. 4 devices,"Y Huo, P Puspitaningayu, N Funabiki, K Hamazaki, M Kuribayashi, ...","Information 13 (5), 211, 2022",2022,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A9L19RMAAAAJ&pagesize=100&citation_for_view=A9L19RMAAAAJ:5nxA0vEk-isC
Lilik Anifah,6MXDzBQAAAAJ,Effect of problem-based learning model and motivation toward learning outcomes on network routing,"KD Ariyanti, AA Mon, E Ekohariadi, L Anifah","Jurnal Pendidikan Teknologi Dan Kejuruan 24 (2), 270-277, 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:Wp0gIr-vW9MC
Bambang Sujatmiko,qtFw9UMAAAAJ,Pengembangan Aplikasi Kamus Bahasa Pemrograman C++ Berbasis Android Untuk Meningkatkan Kompetensi Kognitif Mata Kuliah Struktur Data,"I Ramadhana, B Sujatmiko","IT-Edu: Jurnal Information Technology and Education 3 (1), 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qtFw9UMAAAAJ&pagesize=100&citation_for_view=qtFw9UMAAAAJ:ufrVoPGSRksC
Lilik Anifah,6MXDzBQAAAAJ,Design and implementation of thermal body system employing thermal sensor MLX 90614 for Covid-19 symptoms early detector,"PW Rusimamto, R Harimurti, Y Anistyasari, L Anifah","International Joint Conference on Science and Engineering (IJCSE 2020), 317-321, 2020",2020,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:j3f4tGmQtD8C
Lilik Anifah,6MXDzBQAAAAJ,Improving pilot competence through flying practice learning using flight simulator at the indonesia civil pilot academy of Banyuwangi,"H Prayitno, M Cholik, L Anifah, A Wardhono, P Wicaksono","Journal of Law and Sustainable Development 12 (1), e2426-e2426, 2024",2024,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:q3oQSFYPqjQC
Ulfa Siti Nuraini,q-sbahIAAAAJ,On comparing optimizer of UNet-VGG16 architecture for brain tumor image segmentation,"AA Pravitasari, N Iriawan, US Nuraini, DA Rasyid","Brain Tumor MRI Image Segmentation Using Deep Learning Techniques, 197-215, 2022",2022,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q-sbahIAAAAJ&pagesize=100&citation_for_view=q-sbahIAAAAJ:u-x6o8ySG0sC
Unit Three Kartini,S6IJ51cAAAAJ,Peramalan Daya Listrik Plts On Grid Pada Rumah Tinggal Menggunakan Metode K-Nearest Neighbor Decomposition Feed Forward Neural Network Berdasarkan Data Meteorologi,"M Agam, UT Kartini","Jurnal Teknik Elektro 9 (2), 2020",2020,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S6IJ51cAAAAJ&pagesize=100&citation_for_view=S6IJ51cAAAAJ:kNdYIx-mwKoC
Yeni Anistyasari,IJIEntMAAAAJ,Analysis of computational thinking skill predictors on information technology education students,"Y Anistyasari, L Nurlaela, MS Sumbawati","International Conference on Education, Science and Technology, 109-114, 2019",2019,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:hFOr9nPyWt4C
Yeni Anistyasari,IJIEntMAAAAJ,Design and implementation of thermal body system employing thermal sensor MLX 90614 for Covid-19 symptoms early detector,"PW Rusimamto, R Harimurti, Y Anistyasari, L Anifah","International Joint Conference on Science and Engineering (IJCSE 2020), 317-321, 2020",2020,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:M3NEmzRMIkIC
Yeni Anistyasari,IJIEntMAAAAJ,Stimulasi Berpikir Komputasi Melalui Digital Storytelling Menggunakan CoSpaces Edu,"Y Anistyasari, E Ekohariadi, SC Hidayati","JIEET (Journal of Information Engineering and Educational Technology) 6 (1), 1-6, 2022",2022,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:rO6llkc54NcC
Endryansyah,9BWyE0UAAAAJ,Desain Sistem Pengendalian Kecepatan Motor Dc Pada Rancang Bangun Mini Konveyor Berbasis Fuzzy Logic Controller,AR Maulana,"Jurnal Teknik Elektro 7 (3), 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:UeHWp8X0CEIC
Naim Rochmawati,8wFXNjYAAAAJ,"A Responsive Web-Based QR Code for Inventory in The Laboratory of Informatics, UNESA","N Rochmawati, I Buditjahjanto, RE Putra, AY Wicaksono","IOP Conference Series: Materials Science and Engineering 288 (1), 012109, 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:Y0pCki6q_DkC
Endryansyah,9BWyE0UAAAAJ,Rancang bangun pengendalian kecepatan brushless dc motor tipe a2212/10t 1400 kv menggunakan kontroler pid berbasis labview,FY Pratama,"Jurnal Teknik Elektro 7 (03), 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:_FxGoFyzp5QC
Endryansyah,9BWyE0UAAAAJ,Implementation of neural network to determine the new college students,"RE Putra, AI Nurhidayat, AY Wicaksono","IOP Conference Series: Materials Science and Engineering 288 (1), 012121, 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:70eg2SAEIzsC
Yuliani Puji Astuti,Tz8EfXcAAAAJ,Penerapan Rantai Markov dalam Menganalisis Persaingan Jasa Pengiriman Barang (Ekspedisi),"S Latifah, YP Astuti","MATHunesa: Jurnal Ilmiah Matematika 9 (3), 458-465, 2021",2021,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tz8EfXcAAAAJ&pagesize=100&citation_for_view=Tz8EfXcAAAAJ:4TOpqqG69KYC
Miftahur Rohman,TB0QfMoAAAAJ,An Improved Neural Network Based on Parasitism–Predation Algorithm for an Automatic Voltage Regulator,"W Aribowo, B Suprianto, IGPA Buditjahjanto, M Widyartono, M Rohman","ECTI Transactions on Electrical Engineering, Electronics, and Communications …, 2021",2021,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TB0QfMoAAAAJ&pagesize=100&citation_for_view=TB0QfMoAAAAJ:UeHWp8X0CEIC
Rindu Puspita Wibawa,Hl6bqU8AAAAJ,Analisis Tracer Study Untuk Mengkaji Profil Alumni Lulusan Program Studi S1 Teknik Informatika Unesa,"MDE Susanti, RP Wibawa","Journal of Emerging Information System and Business Intelligence (JEISBI) 2 …, 2021",2021,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Hl6bqU8AAAAJ&pagesize=100&citation_for_view=Hl6bqU8AAAAJ:Y0pCki6q_DkC
Lusia Rakhmawati,nWPONc8AAAAJ,ANALISIS PENERAPAN MODEL PEMBELAJARAN PROBLEM BASED LEARNING (PBL) PADA PROGRAM KEAHLIAN TEKNIK KOMPUTER JARINGAN DI SMK RAJASA SURABAYA,"IA Prasetyo, F Baskoro, L Rakhmawati",,,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:RYcK_YlVTxYC
Lusia Rakhmawati,nWPONc8AAAAJ,Pengembangan Media Pembelajaran E-Book Interaktif Pada Mata Kuliah Elektronika Digital di Jurusan Teknik Elektro UNESA,"DA Pratama, L Rakhmawati","Jurnal Pendidikan Teknik Elektro 2 (1), 327-332, 2013",2013,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:RHpTSmoSYBkC
Yeni Anistyasari,IJIEntMAAAAJ,Designing learning management system interoperability in semantic web,"Y Anistyasari, R Sarno, N Rochmawati","IOP Conference Series: Materials Science and Engineering 296 (1), 012034, 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:LkGwnXOMwfcC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Rancang Bangun Pembangkit Listrik Tenaga Surya Kapasitas 80 WP Untuk Alat Penetas Telur Berbasis Internet of Things,"AFU Suduri, SI Haryudo, M Widyartono","Jurnal Teknik Elektro 10 (3), 587-596, 2021",2021,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:1sJd4Hv_s6UC
Elly Matul Imah,tzjThtIAAAAJ,Implementation vehicle classification on Distributed Traffic Light Control System neural network based,"B Zaman, W Jatmiko, A Wibowo, EM Imah","2011 International Conference on Advanced Computer Science and Information …, 2011",2011,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:d1gkVwhDpl0C
Elly Matul Imah,tzjThtIAAAAJ,Comparison of Machine Learning Algorithms for Autism Spectrum Disorder Classification,"ES Dewi, EM Imah","International Joint Conference on Science and Engineering (IJCSE 2020), 152-159, 2020",2020,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:_Qo2XoVZTnwC
Naim Rochmawati,8wFXNjYAAAAJ,Exploring the kernel on SVM to enhance the classification performance of students' academic performance,"Y Yamasari, A Qoiriah, N Rochmawati, IM Suartana, OV Putra, ...","2022 Fifth International Conference on Vocational Education and Electrical …, 2022",2022,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:HDshCWvjkbEC
Arif Widodo,RES4QIQAAAAJ,Sistem Akuisisi ECG menggunakan USB untuk deteksi Aritmia,A Widodo,"Proceedings Seminar Tugas Akhir Jurusan Teknik Elektro FTI–ITS Surabaya, 2010",2010,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:u5HHmVD_uO8C
Naim Rochmawati,8wFXNjYAAAAJ,Designing learning management system interoperability in semantic web,"Y Anistyasari, R Sarno, N Rochmawati","IOP Conference Series: Materials Science and Engineering 296 (1), 012034, 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:WF5omc3nYNoC
Anita Qoiriah,N6RJilIAAAAJ,Exploring the kernel on SVM to enhance the classification performance of students' academic performance,"Y Yamasari, A Qoiriah, N Rochmawati, IM Suartana, OV Putra, ...","2022 Fifth International Conference on Vocational Education and Electrical …, 2022",2022,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:HDshCWvjkbEC
