Data set,"Publications at Universitas Negeri Surabaya"
Year range,2020 to 2024
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,"All publication types"
Self-citations,-

Data source,Scopus
Date last updated,1 October 2025
Date exported,11 October 2025

"* In cases where the journal metric is not available for the publication year of a document, the ""closest year"" metrics are used. E.g. If the latest CiteScore percentile for a journal is from 2019, a 2020 document from that journal will display the 2019 CiteScore percentile value."

2535 publications

Dates,Some publication dates might be an approximation. Read more in https://service.elsevier.com/app/answers/detail/a_id/35535/supporthub/scival/


"Title","Authors","Number of Authors","Scopus Author Ids","Year","Full date","Scopus Source title","Volume","Issue","Pages","Article number","ISSN","Source ID","Source type","Language","SNIP (publication year)","SNIP percentile (publication year) *","CiteScore (publication year)","CiteScore percentile (publication year) *","SJR (publication year)","SJR percentile (publication year) *","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Field-Citation Average","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Main patent families","Policy citations","Reference","Abstract","DOI","Publication type","Open Access","EID","PubMed ID","Institutions","Number of Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Scopus Author ID First Author","Scopus Author ID Last Author","Scopus Author ID Corresponding Author","Scopus Author ID Single Author","Country/Region","Number of Countries/Regions","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Quacquarelli Symonds (QS) Subject area code","Quacquarelli Symonds (QS) Subject area field name","Quacquarelli Symonds (QS) Subject code","Quacquarelli Symonds (QS) Subject field name","Times Higher Education (THE) code","Times Higher Education (THE) field name","ANZSRC FoR (2020) parent code","ANZSRC FoR (2020) parent name","ANZSRC FoR (2020) code","ANZSRC FoR (2020) name","Sustainable Development Goals (2025)","Topic Cluster name","Topic Cluster number","Topic Cluster Prominence Percentile","Topic name","Topic number","Topic Prominence Percentile","Publication link to Topic strength"
"INVESTIGATION OF PANI/ZnO NANOCOMPOSITE FOR ALCOHOL VAPOR SENSOR","Putri, N.P.| Komariyah, A.Y.| Prasya, I.S.| Fitriana, F.","4","57202051863| 58036435400| 59460366600| 57191542317","2024","2024-11-28","EUREKA, Physics and Engineering","2024","6","142-150","-","ISSN-24614254","21100912212","Journal","English","0.58","58","2","56","0.234","65","0.57","7","0","0.0","4.57","60","60","0","0","Putri, N.P., Komariyah, A.Y., Prasya, I.S. and 1 more (...) (2024).INVESTIGATION OF PANI/ZnO NANOCOMPOSITE FOR ALCOHOL VAPOR SENSOR. EUREKA, Physics and Engineering,2024(6) 142-150","https://www.scopus.com/record/display.url?eid=2-s2.0-85211158850&origin=resultslist","10.21303/2461-4262.2024.003364","Article","Gold","2-s2.0-85211158850","-","State University of Malang| Universitas Negeri Surabaya","2","60105082| 60104775","Universitas Negeri Surabaya| Universitas Negeri Malang","57202051863","57191542317","57202051863","-","Indonesia","1","2200| 3100","General Engineering| General Physics and Astronomy","4| 2","Natural Sciences| Engineering & Technology","439","Physics & Astronomy","37| 36","Physical Sciences| Engineering","51| 40","Physical Sciences| Engineering","5199| 4004| 4012","Other physical sciences| Chemical engineering| Fluid mechanics and thermal engineering","-","Innovative Gas Sensors for Environmental Monitoring","388","95.945","Flexible Polyaniline Sensors for Ammonia Detection","70414","95.798","Definitive"
"Profile of critical thinking skills of senior high school students in physical wave material","Lintangesukmanjaya, R.T.| Prahani, B.K.| Suliyanah| Sunarti, T.| Saphira, H.V.","5","59150667900| 57207944019| 57196087475| 57201671106| 57881887700","2024","2024-01-01","Journal of Physics: Conference Series","2900","1","-","012030","ISSN-17426588","130053","Conference Proceeding","English","0.31","78","1.3","73","-","-","0.99","9","0","0.0","0.41","60","60","0","0","Lintangesukmanjaya, R.T., Prahani, B.K., Suliyanah and 2 more (...) (2024).Profile of critical thinking skills of senior high school students in physical wave material. Journal of Physics: Conference Series,2900(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85212814325&origin=resultslist","10.1088/1742-6596/2900/1/012030","Conference Paper","Gold","2-s2.0-85212814325","-","University of Wollongong| Universitas Negeri Surabaya","2","60105082| 60011664","Universitas Negeri Surabaya| University of Wollongong","59150667900","57881887700","57201671106","-","Indonesia| Australia","2","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","-","Critical Thinking Skills in Student Learning Outcomes","1339","49.052","Critical Thinking Development in Diverse Educational Contexts","836","98.691","Definitive"
"Technology Readiness Measurement in Middle-Level School Learning for Business Process Reengineering to Support Digital Learning","Husin, N.| Kharisma, F.| Hadi, H.K.| Arifah, I.D.C.","4","55008449900| 58038815400| 57201877528| 57395409700","2024","2024-01-01","2024 12th International Conference on Cyber and IT Service Management, CITSM 2024","-","-","-","-","-","21101269364","Conference Proceeding","English","-","-","-","-","-","-","3.9","21","0","0.0","0.83","60","60","0","0","Husin, N., Kharisma, F., Hadi, H.K. and 1 more (...) (2024).Technology Readiness Measurement in Middle-Level School Learning for Business Process Reengineering to Support Digital Learning. 2024 12th International Conference on Cyber and IT Service Management, CITSM 2024,","https://www.scopus.com/record/display.url?eid=2-s2.0-85214905791&origin=resultslist","10.1109/CITSM64103.2024.10775662","Conference Paper","","2-s2.0-85214905791","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","55008449900","57395409700","-","-","Indonesia","1","1405| 1702| 1705| 1710| 1802| 2213","Management of Technology and Innovation| Artificial Intelligence| Computer Networks and Communications| Information Systems| Information Systems and Management| Safety, Risk, Reliability and Quality","2| 3","Engineering & Technology| Social Sciences & Management","308| 213| 212| 249","Business & Management Studies| Data Science| Computer Science & Information Systems| Engineering - Petroleum","35| 36| 38| 37","Business and Economics| Engineering| Computer Science| Physical Sciences","-","-","-","-","-","Digital Twin Integration in Smart Manufacturing Systems","1057","98.3","Integration of Cyber Physical Systems in Industry 4.0","342","99.971","Definitive"
"Design and Implementation of an Indonesian Speech Recognition Application Based on Mel Frequency Cepstral Coefficients and K-Nearest Neighbor Classification","Fathoni, A.N.| Retno Putri, I.| Nurul Yusufiyah, H.K.| Achmad, F.| Kholis, N.| Nugroho, Y.S.","6","57220047170| 59778309500| 57189248053| 57220050969| 57217603667| 57220055387","2024","2024-01-01","7th International Seminar on Research of Information Technology and Intelligent Systems: Advanced Intelligent Systems in Contemporary Society, ISRITI 2024 - Proceedings","-","-","946-952","-","-","21101292989","Conference Proceeding","English","-","-","-","-","-","-","0.19","1","0","0.0","0.95","60","60","0","0","Fathoni, A.N., Retno Putri, I., Nurul Yusufiyah, H.K. and 3 more (...) (2024).Design and Implementation of an Indonesian Speech Recognition Application Based on Mel Frequency Cepstral Coefficients and K-Nearest Neighbor Classification. 7th International Seminar on Research of Information Technology and Intelligent Systems: Advanced Intelligent Systems in Contemporary Society, ISRITI 2024 - Proceedings,946-952","https://www.scopus.com/record/display.url?eid=2-s2.0-105004411642&origin=resultslist","10.1109/ISRITI64779.2024.10963607","Conference Paper","","2-s2.0-105004411642","-","Queen Mary University of London| Universitas Negeri Surabaya","2","60105082| 60022109","Universitas Negeri Surabaya| Queen Mary University of London","57220047170","57220055387","57220047170","-","Indonesia| United Kingdom","2","1702| 1706| 1709| 1710| 1711| 1802| 2611","Artificial Intelligence| Computer Science Applications| Human-Computer Interaction| Information Systems| Signal Processing| Information Systems and Management| Modeling and Simulation","2| 4","Engineering & Technology| Natural Sciences","213| 212| 431","Data Science| Computer Science & Information Systems| Mathematics","37| 38","Physical Sciences| Computer Science","-","-","-","-","-","Speech Recognition and Processing","66","82.145","Deep Learning Models for Speech Recognition Adaptation","2135","71.665","Definitive"
"Physical Exercise Improve Pancreatic Beta Cell Mass and Function: Systematic Review","Ayubi, N.| Wibawa, J.C.| Halip, M.F.| Aljunaid, M.","4","57537497000| 59006110400| 58770060500| 57217991372","2024","2024-01-01","Research Journal of Pharmacy and Technology","17","12","6112-6117","-","ISSN-09743618","21100197160","Journal","English","0.56","59","1.5","47","0.267","50","1.14","9","0","0.0","1.91","60","60","0","0","Ayubi, N., Wibawa, J.C., Halip, M.F. and 1 more (...) (2024).Physical Exercise Improve Pancreatic Beta Cell Mass and Function: Systematic Review. Research Journal of Pharmacy and Technology,17(12) 6112-6117","https://www.scopus.com/record/display.url?eid=2-s2.0-85216788747&origin=resultslist","10.52711/0974-360X.2024.00927","Article","","2-s2.0-85216788747","-","Taiz University| Universitas Negeri Surabaya","2","60105082| 124131655| 60072795","Universitas Negeri Surabaya| STKIP PGRI Trenggalek| Taiz University","57537497000","57217991372","57537497000","-","Indonesia| Yemen","2","2736| 3001","Pharmacology (medical)| Pharmacology, Toxicology and Pharmaceutics (miscellaneous)","5","Life Sciences & Medicine","537","Pharmacy & Pharmacology","34","Medical and Health","32","Biomedical And Clinical Sciences","3214","Pharmacology and pharmaceutical sciences","SDG 3","Innovative Approaches in Diabetes Management and Monitoring","16","94.375","Exercise Management in Type 1 Diabetes Control","17541","92.219","Definitive"
"Content Analysis of Integrated Reporting in Malaysia","Ali, M.M.| Ghani, E.K.| Handayani, S.| Mariana| Hardini, H.T.","5","55999836400| 35098434100| 57226707037| 59129974000| 57201350081","2024","2024-01-01","WSEAS Transactions on Business and Economics","21","-","1064-1082","-","ISSN-11099526","17700156006","Journal","English","0.38","72","1.7","67","0.192","81","1.36","49","0","0.0","4.6","60","60","0","0","Ali, M.M., Ghani, E.K., Handayani, S. and 2 more (...) (2024).Content Analysis of Integrated Reporting in Malaysia. WSEAS Transactions on Business and Economics,211064-1082","https://www.scopus.com/record/display.url?eid=2-s2.0-85193272873&origin=resultslist","10.37394/23207.2024.21.89","Article","Gold","2-s2.0-85193272873","-","Universitas Negeri Surabaya| Universiti Teknologi MARA","2","60004351| 60105082","Universiti Teknologi MARA| Universitas Negeri Surabaya","55999836400","57201350081","55999836400","-","Indonesia| Malaysia","2","1406| 1407| 1408| 2002","Marketing| Organizational Behavior and Human Resource Management| Strategy and Management| Economics and Econometrics","3","Social Sciences & Management","308| 335| 317","Business & Management Studies| Marketing| Economics & Econometrics","35","Business and Economics","35","Commerce, Management, Tourism And Services","3501| 3507| 3502","Accounting, auditing and accountability| Strategy, management and organisational behaviour| Banking, finance and investment","SDG 12","Sustainability and Corporate Responsibility in Business","499","99.346","Integrated Reporting Framework for Sustainable Business Practices","12293","97.288","Definitive"
"The influence of disability-friendly corporate branding on company brand equity in East Java","Junianta, R.D.| Iriani, S.S.| Nugrohoseno, D.| Nuswantara, D.A.","4","58778706300| 57200565279| 57194452122| 57200395873","2023","2023-11-29","E3S Web of Conferences","450","-","-","03005","ISSN-25550403","21100795900","Conference Proceeding","English","0.4","71","0.9","77","-","-","1.48","20","0","0.0","1.56","73","73","0","0","Junianta, R.D., Iriani, S.S., Nugrohoseno, D. and 1 more (...) (2023).The influence of disability-friendly corporate branding on company brand equity in East Java. E3S Web of Conferences,450","https://www.scopus.com/record/display.url?eid=2-s2.0-85180580058&origin=resultslist","10.1051/e3sconf/202345003005","Conference Paper","Gold","2-s2.0-85180580058","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","58778706300","57200395873","58778706300","-","Indonesia","1","1900| 2100| 2300","General Earth and Planetary Sciences| General Energy| General Environmental Science","4| 2","Natural Sciences| Engineering & Technology","450| 221| 416| 249| 424| 451","Geology| Engineering - Electrical & Electronic| Earth & Marine Sciences| Engineering - Petroleum| Environmental Sciences| Geophysics","37| 36","Physical Sciences| Engineering","51| 40","Physical Sciences| Engineering","4005| 4017| 5199","Civil engineering| Mechanical engineering| Other physical sciences","SDG 4","Economic Growth and Structural Change in Development","665","57.227","Intangible Assets and Their Economic Impact","53018","77.067","Other"
"Effectiveness of Interval Training in Increasing Cardiorespiratory Endurance: A Systematic Review","Ridwan, M.| Zhuka, E.M.| Haqiyah, A.| Zakaria, J.B.","4","57225378646| 59479322600| 57217154890| 57209471545","2024","2024-12-10","Physical Education Theory and Methodology","24","6","1007-1014","-","ISSN-19937989","21100942842","Journal","English","0.57","58","2.7","41","0.318","59","1.41","29","0","0.0","4.92","60","60","0","0","Ridwan, M., Zhuka, E.M., Haqiyah, A. and 1 more (...) (2024).Effectiveness of Interval Training in Increasing Cardiorespiratory Endurance: A Systematic Review. Physical Education Theory and Methodology,24(6) 1007-1014","https://www.scopus.com/record/display.url?eid=2-s2.0-85212489270&origin=resultslist","10.17309/tmfv.2024.6.19","Review","Gold|Green","2-s2.0-85212489270","-","Sultan Idris Education University| Universitas Negeri Surabaya","2","60105082| 60108123| 60103633","Universitas Negeri Surabaya| Universitas Islam 45| Universiti Pendidikan Sultan Idris","57225378646","57209471545","57225378646","-","Indonesia| Malaysia","2","2739| 3304| 3306| 3612","Public Health, Environmental and Occupational Health| Education| Health (social science)| Physical Therapy, Sports Therapy and Rehabilitation","5| 3","Life Sciences & Medicine| Social Sciences & Management","532| 318| 343","Medicine| Education & Training| Sports-related Subjects","41| 34| 40","Education Studies| Medical and Health| Social Sciences","42","Health Sciences","4207| 4201| 4203","Sports science and exercise| Allied health and rehabilitation science| Health services and systems","SDG 3","Enhancing Athletic Performance through Muscle and Gait Analysis","57","92.413","High Intensity Interval Training Effects on Fitness","9321","97.136","Definitive"
"Optimization of Octagonal Microstrip Antenna Characteristics Using Defected Ground Structure (DGS) For Wireless Communication","Firdaus, R.A.| Rahmawati, E.| Yantidewi, M.| Dzulkiflih| Bustomi, M.A.| Oktafiani, F.| Ramadani, R.| Nikmah, A.","8","57212303923| 36004932300| 57193133954| 57201671182| 57214068777| 55575376700| 57219257981| 59205436400","2024","2024-11-01","International Journal of Microwave and Optical Technology","19","6","606-613","-","ISSN-15530396","21100200818","Journal","English","0.25","83","1","78","0.148","89","0.68","7","0","0.0","4.92","60","60","0","0","Firdaus, R.A., Rahmawati, E., Yantidewi, M. and 5 more (...) (2024).Optimization of Octagonal Microstrip Antenna Characteristics Using Defected Ground Structure (DGS) For Wireless Communication. International Journal of Microwave and Optical Technology,19(6) 606-613","https://www.scopus.com/record/display.url?eid=2-s2.0-85213043463&origin=resultslist","-","Article","","2-s2.0-85213043463","-","Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya","2","60105082| 60070707| 129115583","Universitas Negeri Surabaya| Institut Teknologi Sepuluh Nopember| National Research and Innovation","57212303923","59205436400","57212303923","-","Indonesia","1","2208| 2504","Electrical and Electronic Engineering| Electronic, Optical and Magnetic Materials","4| 2","Natural Sciences| Engineering & Technology","221| 249| 433","Engineering - Electrical & Electronic| Engineering - Petroleum| Materials Science","36","Engineering","40","Engineering","4013| 4008| 4006","Geomatic engineering| Electrical engineering| Communications engineering","-","Antenna Design and Wireless Power Transfer","15","85.939","Multifunctional Microstrip Antennas for Wireless Applications","159","88.61","Definitive"
"THE PERCEPTIONS OF INDONESIAN SECONDARY EFL TEACHERS CONCERNING THEIR ROLES IN SYLLABUS DESIGN","Nita, F.R.| Purwati, O.","2","58773016900| 57212526434","2022","2022-10-01","LLT Journal: Journal on Language and Language Teaching","25","2","616-625","-","ISSN-14107201","21101176722","Journal","English","0.14","89","-","-","-","-","0.17","3","0","0.0","4.81","79","79","0","0","Nita, F.R., Purwati, O. (2022).THE PERCEPTIONS OF INDONESIAN SECONDARY EFL TEACHERS CONCERNING THEIR ROLES IN SYLLABUS DESIGN. LLT Journal: Journal on Language and Language Teaching,25(2) 616-625","https://www.scopus.com/record/display.url?eid=2-s2.0-85180233100&origin=resultslist","10.24071/llt.v25i2.3584","Article","Gold","2-s2.0-85180233100","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","58773016900","57212526434","58773016900","-","Indonesia","1","1203| 3304| 3310","Language and Linguistics| Education| Linguistics and Language","1| 3","Arts & Humanities| Social Sciences & Management","318| 130","Education & Training| Linguistics","33| 41","Arts and Humanities| Education Studies","-","-","-","-","-","Language Ideologies and Multilingual Education Dynamics","752","65.729","Language Policy and Bilingual Education Dynamics","10976","78.75","Defensible"
